Count	Name	Example1	Example2	Example3	Example4	Example5
412	St. George	Sir Daniel Wilson Residence looking east across St. George	St. George the Martyr Church and grounds	100 St. George site plan	St. George looking south-east to corner of St. George and Harbord	Diagram of St. George around Harbord/Hoskins
406	Ontario Place	View of ducks in marina at Ontario Place	Cyclists on Martin Goodman Trail at Ontario Place	Waterfront looking east from Ontario Place	View of dock and water by Ontario Place	Unidentified waterfront location, possibly Ontario Place
396	Eaton Centre	View of shell from Eaton's Annex beside Eaton Centre	View of construction of south Eaton Centre from Queen Street at James Street	Fuller view of Queen Street Eaton's Store with hoarding around, Eaton Centre in the distance	View of completed glass entrance to Eaton Centre	View of Parish house amidst Eaton Centre construction
387	Queen's Park	Ontario Legislative buildings in Queen's Park decorated for the Royal visit	Ontario legislature Buildings, Queen's Park : Whitney Block showing flower beds	Salvation Army parade, Queen's Park	Probably military memorial or church service, Queen's Park, WWI or after	Rally at Queen's Park
372	New York	Actuaries, group : R.P. Murphy, New York, J.D. Craig, New York, Arthur Coburn, New York, E.G. Fassel, Milwaukee	Urban design - New York	Urban design - New York	New York	Urban design - New York
358	Toronto Railway Company	Demolition of a building, formerly used by the Toronto Street Railway Company and Toronto Railway Company, located on the northwest corner of Front St E. and Frederick St	Demolition of a building, formerly used by the Toronto Street Railway Company and Toronto Railway Company, located on the northwest corner of Front St E. and Frederick St	Demolition of a building, formerly used by the Toronto Street Railway Company and Toronto Railway Company, located on the northwest corner of Front St E. and Frederick St	Demolition of a building, formerly used by the Toronto Street Railway Company and Toronto Railway Company, located on the northwest corner of Front St E. and Frederick St	Demolition of a building, formerly used by the Toronto Street Railway Company and Toronto Railway Company, located on the northwest corner of Front St E. and Frederick St
351	Executive Department	Multiple unit train, interior, first car, (Executive Department)	Sleet and standard trolley wheels, (Executive Department)	Royce Ave subway, looking west, to northern approach, (Executive Department)	Traffic conditions, Front and Bay, looking north, 8:37 a.m., (Executive Department)	Queen and Yonge, looking east, traffic, noon - 1 p.m., (Executive Department)
339	TTC	TTC subway car exhibit at CNE	TTC floats in Grey Cup parade	TTC west of bridge	TTC construction	TTC subway tracks and trains
336	Toronto Street Railway Company	Demolition of a building, formerly used by the Toronto Street Railway Company and Toronto Railway Company, located on the northwest corner of Front St E. and Frederick St	Demolition of a building, formerly used by the Toronto Street Railway Company and Toronto Railway Company, located on the northwest corner of Front St E. and Frederick St	Demolition of a building, formerly used by the Toronto Street Railway Company and Toronto Railway Company, located on the northwest corner of Front St E. and Frederick St	Demolition of a building, formerly used by the Toronto Street Railway Company and Toronto Railway Company, located on the northwest corner of Front St E. and Frederick St	Demolition of a building, formerly used by the Toronto Street Railway Company and Toronto Railway Company, located on the northwest corner of Front St E. and Frederick St
317	Miss Toronto Beauty Contest	Miss Toronto Beauty Contest 1960, Exhibition Stadium : contestants with umbrellas	Miss Toronto Beauty Contest 1954, Exihibition Stadium : ten finalists	Miss Toronto Beauty Contest 1948, Woodbine Racetrack : Florence Ferriman, Miss Toronto 1948, centre, with runners up Joan Rigby, left, and Phyllis Williams, right	Miss Toronto Beauty Contest 1960, Exhibition Stadium : contestants	Miss Toronto Beauty Contest 1947 : Margaret Marshall, Miss Toronto 1947, with runners up, Catherine Hunter (2nd), left, and Molly Beckett (3rd), right
307	Commercial Department	Cottages, facing south, Hanlan's Point, (Commercial Department)	Streetcar advertising, (Commercial Department)	Humber bridge, at Old Mill, (Commercial Department)	Canadian National Exhibition, (Commercial Department)	Gray Coach Lines service, Oshawa branch, (Commercial Department)
302	Ver Mehr Filter	Ver Mehr Filter — General view south from Chemical building	Ver Mehr Filter — chimney foundation	Ver Mehr Filter — Roof of Filter house	Ver Mehr Filter — Engine Room	Ver Mehr Filter — Suction Well
278	CN Tower	View of CN Tower, looking east, from Adelaide Place	CN Tower, last section	Looking south-east to Bay Street from near CN Tower	CN Tower	CN Tower
263	Garage Department	Coach #530, (Garage Department)	City service coach, type "X," 21 passenger, (interior), (Garage Department)	Sander #116, converted Mack bus #240, (Garage Department)	Reo bus #565, (Garage Department)	Mack treadle bus #235, (Garage Department)
240	Humber River	Valley of the west branch of the Humber River	Waterfront trail under bridge near Humber River	Humber River at Lambton - swimming	Bridge on Lawrence Avenue West at Humber River	Gardiner, Lake Shore Boulevard or Queensway near Humber River, looking east
237	Don River	Don River looking south	Sewer mains crossing Don River?	Queen Street - Don River bridge	Don River during flood	Yonge St, looking south, from Don River bridge, (Legal Department)
233	St. Lawrence Market	St. Lawrence Market	Overhead view of St. Lawrence Market and surrounding area from the 11th floor of the King Edward Hotel	View of St. Lawrence Market from St. James Park gazebo	St. Lawrence Market stall	St. Lawrence Market
225	Centre Island	Centre Island, Royal Canadian Yacht Club	View of children's ride at Centre Island	Passengers embarking for Centre Island, main docks, (Executive Department)	Centre Island — site of proposed bathing station at Manitou Road	Lagoon, Centre Island
224	Casa Loma	Visitors by fireplace near main entrance, Casa Loma	Pipe band at Gooderham & Worts dinner and dance, Casa Loma 	Looking south from Casa Loma	Dancers at Gooderham & Worts dinner and dance, Casa Loma 	Casa Loma gardens
224	United States	Street mall, United States	Modern mall on main street, United States	Unidentified location in the United States	Street mall, United States	Street mall, United States
220	St. Christopher House	St. Christopher House camp staff	St. Christopher House camp swimming	St. Christopher House camp staff and campers	St. Christopher House camp train station	St. Christopher House camp boating
219	St. Clair	Boring sewer, Rosedale ravine, rain sewer Wellesley Street, and St. Clair	St. Clair and Yonge	View of Yonge Street south of St. Clair	St. Clair looking east from Deer Park	Lot west of 151 St. Clair
218	Toronto Island	Bird banding, Toronto Island	Toronto Island, Royal Canadian Yacht Club, "Island Aquatic" 	Motor launch tour of Toronto Island, (Commercial Department)	Toronto Island, Centre Island, Centreville, waterslide	Toronto Island
215	Royal York Hotel	Grey Cup crowds at Royal York Hotel	Royal York Hotel, Front Street	Grey Cup crowds at Royal York Hotel	Looking east from east of Royal York Hotel	Canadian Institute of Sewage and Sanitation awards dinner at Royal York Hotel
204	King Edward Hotel	King Edward Hotel east wall - view from Leader Lane and King St	King Edward Hotel postcard	King Edward Hotel - during renovations	King Edward Hotel - wrought iron detail from Victoria Street	King Edward Hotel - King St E. main entrance
203	T.T.C.	T.T.C. picnic, ambulance brigade and St. John's nurses, (Personnel Department)	T.T.C. parking space, ferry docks, (Motor Coach Department)	T.T.C. sign boards, Hillcrest Shops, Davenport Rd, (Legal Department)	T.T.C., "X," parlour type coach, (Executive Department)	T.T.C. property, Runnymede Rd and Henrietta St, looking south-east
200	Yonge Subway	Ground breaking for Yonge Subway construction	Streetcars, buses, and the Yonge Subway	Yonge Subway, Davisville Station to Wellesley Station	Maps, and section drawings relating to the Yonge Subway	Yonge Subway, Davisville Station to Wellesley Station
198	Grey Cup	Grey Cup game	Grey Cup crowds at Royal York Hotel	Grey Cup game	Grey Cup parade - Montreal float	Grey Cup crowds at Royal York Hotel
196	Nathan Phillips Square	Skating at Nathan Phillips Square	Nathan Phillips Square and City Hall	Looking west to Nathan Phillips Square	Skating at Nathan Phillips Square	City Hall and Nathan Phillips Square
194	Humber Memorial Hospital	Man at desk, Humber Memorial Hospital	Cafeteria, Humber Memorial Hospital	Group of nurses, Humber Memorial Hospital	Staff member fills needle, Humber Memorial Hospital	Construction at Humber Memorial Hospital
193	Grenadier Pond	Swan on nest among reeds in Grenadier Pond	Skaters on frozen Grenadier Pond near shoreline in winter = Grenadier 9	Grenadier Pond - shadow and sunset - Harold 	Grenadier Pond, scene where Geo. Hendry body found	Grenadier Pond
193	Miss Toronto	Ruth Carrier, Miss Toronto 1951 : Ruth Carrier receives watch from Albert Dekker 	Miss Toronto Beauty Contest 1960, Exhibition Stadium : Dolores Robinson, Miss Toronto 1960, with Mayor Nathan Phillips	Miss Toronto Beauty Contest 1947.  Mayor Robert H. Saunders presents robes to Margaret Marshall, Miss Toronto 1947	Miss Toronto Beauty Contest 1952, Exihibition Stadium : Thelma Brewis, Miss Toronto 1952, with Mayor Allan a. Lamport, and runners up, Marilyn Reddick (2nd), left, and Shirley Harden (3rd), right	Miss Toronto Beauty Contest 1951, Exihibition Stadium : Ruth Carrier, Miss Toronto 1951, with foral bouquet
185	Queens Quay	South side of buildings at Queens Quay and Little Norway looking north	Loop, Queens Quay and York St, looking north-west, (Way Department)	Queens Quay and York St, looking south-east, (Way Department)	Foot of Yonge at Queens Quay, looking east, showing Captain John's restaurant	Building on Queens Quay looking north-east to Spadina
183	Peterson Productions	Peterson Productions filming unidentified production	Peterson Productions filming unidentified production	Peterson Productions laundry room set for unidentified production	Peterson Productions filming unidentified production	Peterson Productions filming advertisement for Breeze laundry detergent
178	Jack Kent Cooke	Jack Kent Cooke with baseball player in Toronto Maple Leafs Baseball Club dugout, Maple Leaf Stadium	Jack Kent Cooke is presented with pen set by Rube W. Bolstad	Jack Kent Cooke with Rickie (centre) and Burleigh Grimes (right) at Toronto Maple Leafs Baseball Club spring training camp, Florida	Jack Kent Cooke with baseball player and others, Maple Leaf Stadium	Jack Kent Cooke at Toronto Maple Leafs Baseball Club spring training camp, Florida
171	Belarus Russian	Belarus Russian tractors in shed at official opening of Belarus Russian tractor factory	Officials outside factory at official opening of Belarus Russian tractor factory	Belarus Russian tractor in field	A. Engibarov at conference at official opening of Belarus Russian tractor factory	Tour of Belarus Russian tractor factory at official open
167	Harold Stacey	Photographs of Robert and Harold Stacey	Photographs of Robert and Harold Stacey	Photographs of Robert and Harold Stacey	Photographs of Robert and Harold Stacey	Photographs of Robert and Harold Stacey
164	St. James Cathedral	Close view of west side of St. James Cathedral	Interior view of stained glass windows in St. James Cathedral	Close view of model of St. James Cathedral	View of St. James Cathedral on King Street East	View of Church Street side of St. James Cathedral
161	Motor Coach Department	Gray Coach Lines, zone post, (Motor Coach Department)	Gray Coach Lines, driver's winter hat, (Motor Coach Department)	Coach #82, at the Thorncliffe Races, (Motor Coach Department)	Brant Inn, Western Section, Burlington, (Motor Coach Department)	T.T.C. "Gray" Coach, side view, (Motor Coach Department)
161	Hanlan's Point	Lake Shore palm gardens, Hanlan's Point, (Commercial Department)	Hanlan's Point, bathing beach, (Commercial Department)	Mrs. Mass and daughters, Hanlan's Point	Mayflower, entering ferry slip, at Hanlan's Point, (Executive Department)	Bob Bailey's Minstrel Band and dancers, Hanlan's Point free entertainment, (Commercial Department)
157	North York	Industrial Properties (North York, Ont.)	North York housing	Suburban district traffic signs, North York	North York housing	Parcel 2184, 75 Goodwill Avenue, North York, front
153	Rolling Stock Department	Hold down for safety control, controller handles, (Rolling Stock Department)	T.T.C. exhibit, Shriners' parade, (Rolling Stock Department)	Front of car #409, (Rolling Stock Department)	Coach #602, new design of outside baggage platform, (Rolling Stock Department)	Toronto Railway open type motor car, formerly horse car, (copy), (Rolling Stock Department)
151	Metropolitan Opera	Metropolitan Opera singer Plouza Kaska with sailor	Metropolitan Opera performers in dressing room at Maple Leaf Gardens	Seating arrangements for Metropolitan Opera at Maple Leaf Gardens	Converting Maple Leaf Gardens into an opera house for Metropolitan Opera	Converting Maple Leaf Gardens into an opera house for Metropolitan Opera
149	Confederation Life Building	Confederation Life Building - view on Victoria Street	Confederation Life Building - view from Richmond St	Confederation Life Building - view from Victoria and Richmond	Confederation Life Building - exterior view, during restoration	Confederation Life Building - exterior view
147	St. James Park	St. James Park	St. James Park looking east	St. James Park	St. James Park looking north-west	St. James Park
147	Nat Turofsky	Nat Turofsky with camera, on rooftop	Nat Turofsky	Nat Turofsky (second from right) at baseball dinner	Nat Turofsky and others in stands	Nat Turofsky (left) next to boat
144	Urban Design	Urban Design staff	Urban Design staff [?]	People at restaurant or party, possibly Urban Design staff	People at restaurant or party, possibly Urban Design staff	Urban Design staff
144	Ontario Jockey Club	Ontario Jockey Club fashions	Spectators, Ontario Jockey Club	Ontario Jockey Club fashions	Ontario Jockey Club	Group at Ontario Jockey Club
142	Riverdale Park	Riverdale Park	General Sir John French reviews troops at Riverdale Park	Riverdale Park — tobogganing	Riverdale Park	Riverdale Park — pond
141	Queen Street Eaton's	View of demolition and facade of Queen Street Eaton's store	View of demolition of Queen Street Eaton's store	View of Queen Street Eaton's store just prior to demolition	View of Queen Street Eaton's store looking west along Queen Street	View of Queen Street Eaton's store and Old City Hall from a streetcar stop on Queen Street
138	Street Cleaning Department	Street Cleaning Department - flushers	Street Cleaning Department - National Clothing Collection	Street Cleaning Department - flushers	Street Cleaning Department - Food for the People of Britain Campaign	Street Cleaning Department - Sanivans
137	Trinity Square	Trinity Square looking east	Church of the Holy Trinity, Trinity Square	Plan of Trinity Square	Trinity Square looking south	View of exterior shell of new City Hall from Trinity Square
136	Royal Alexandra Theatre	Royal Alexandra Theatre - with poster for Donald O'Connor in Harvey	Royal Alexandra Theatre - sign at night	Actor at Royal Alexandra Theatre	Acrobats at the Royal Alexandra Theatre	Acrobats at the Royal Alexandra Theatre
134	Camp Winnebagoe	Boys shooting at rifle range at Camp Winnebagoe	Camp Winnebagoe group portrait	Group of boys at Camp Winnebagoe	Group of girls at Camp Winnebagoe	Group of boys at Camp Winnebagoe
132	Maple Leaf Stadium	Jack Kent Cooke and wife Jean in stands at Maple Leaf Stadium	Tom Packs [?] Circus, Maple Leaf Stadium : baby elephant	Baseball game, Maple Leaf Stadium	Jean Cooke with two sons and unidentified woman in stands at Maple Leaf Stadium	Tony Lazzeri, Toronto Maple Leafs Baseball Club manager 1939-1940, burning grass, Maple Leaf Stadium
132	Six Points Interchange	Six Points Interchange area	Six Points Interchange area	Six Points Interchange area	Six Points Interchange area	Six Points Interchange area
126	SkyDome	SkyDome site clearing	SkyDome diagram	Tennis court looking north-west to SkyDome	East side of SkyDome looking south	Under Gardiner looking east to SkyDome
126	Holy Trinity	View of the Church of the Holy Trinity, Eaton's warehouse and demolished Queen Street store	View of the Church of the Holy Trinity and Eaton's warehouse	Looking east to Church of the Holy Trinity	Church of the Holy Trinity - fire	Church of the Holy Trinity - view of south wall, detail of boarded up window
124	The Queensway	Housing, The Queensway and Royal York Rd.	The Queensway widening	Construction of overpass on Parkside Drive at The Queensway	Housing, The Queensway and Royal York Rd.	The Queensway widening
123	Fort York	Long view of lawn and barracks at Fort York	Graphic of development south and east of Fort York	Sentry, Fort York	Graphic of development south and east of Fort York	View of barracks and canon on Fort York grounds
123	Davisville Station	Yonge Subway, Davisville Station to Wellesley Station	Signboard, Davisville Station	Davisville Station and yard	Yonge Subway, Davisville Station to Wellesley Station	Yonge Subway, Davisville Station to Wellesley Station
122	Frank Gallo	Relief of man behind a desk by Frank Gallo	Relief of man behind a desk by Frank Gallo	Relief of man behind a desk by Frank Gallo	Relief of man behind a desk by Frank Gallo	Relief of man behind a desk by Frank Gallo
122	York University Library	York University Library under construction	York University Library under construction	York University Library under construction	York University Library under construction	York University Library under construction
121	Berczy Park	Berczy Park looking north-west	Model of Berczy Park	Berczy Park looking north	Berczy Park under construction looking east	Model of Berczy Park
121	Osgoode Hall	Osgoode Hall and Canada Life Building, northwest view	View of Osgoode Hall from Queen Street West	Osgoode Hall [?]	Osgoode Hall	View of column and roof detail on Osgoode Hall
120	Don Section	Don Section, Pier D - derrick support, east side	Don Section, Pier D - looking southwest	Don Section, Pier F - south side	Don Section, Pier D - forms, north side N2	Don Section - temporary bridge over Don River
119	Exhibition Place	Arts, Crafts and Hobbies Building, Exhibition Place	Waterfront at Exhibition Place looking east	Plans for Ontario and Exhibition Place	Fire Station 346, Manitoba Drive, Exhibition Place	Dufferin Gate, looking south, Exhibition Place
119	Rosedale Station	Rosedale Station landscaping; Bathurst Station streetcar and bus loop	Train at open cut near Rosedale Station; train in Bloor and Broadview stations	Train at open cut near Rosedale Station; train in Bloor and Broadview stations	Rosedale Station and King Station	Train at open cut near Rosedale Station; train in Bloor and Broadview stations
117	C.P.R.	C.P.R. fill from John Street	View from C.P.R. freight shed, west of bridge	Construction of underpass on Bloor Street West at C.P.R.	View looking south from intersection of C.P.R. freight track with C/L bridge near north abutment	View looking south from intersection of C.P.R. freight track with C/L bridge near north abutment
114	Exhibition Stadium	Miss Toronto Beauty Contest 1955, Exhibition Stadium : Sheila Billings, the eventual winner	RCMP Musical Ride, Exhibition Stadium, CNE	Miss Toronto Beauty Contest 1950, Exhibition Stadium : Ruby Mann, Miss Toronto 1950, with unidentified Toronto Police Field Day official	RCMP Musical Ride, Exhibition Stadium, CNE	Miss Toronto Beauty Contest 1960, Exhibition Stadium : contestants with umbrellas
114	Exihibition Stadium	Miss Toronto Beauty Contest 1953, Exihibition Stadium : Mayor Allan A. Lamport presents floral bouquet to Betty Gibson, Miss Toronto 1953	Miss Toronto Beauty Contest 1950, Exihibition Stadium : Ruby Mann, Miss Toronto 1950, with ribbon, crown and floral bouquet	Miss Toronto Beauty Contest 1949, Exihibition Stadium : Irene McInnes, Miss Toronto 1949	Miss Toronto Beauty Contest 1955, Exihibition Stadium : contestants with umbrellas	Miss Toronto Beauty Contest 1951, Exihibition Stadium : Ruth Carrier, Miss Toronto 1951, with foral bouquet
113	Eaton's Centre	View of Eaton's Centre construction site and north-east corner of Queen Street store	Exterior view of Eaton's Centre construction site, near completion	View of Eaton's Centre construction site facing east	View of Eaton's Centre construction site, Trinity Square and Eaton's warehouse in the background	View of wercking crane in front of Eaton's Bargain Centre, view of Eaton's Centre
111	St. James Town	Parliament looking north to Wellesley and St. James Town	Unidentified location near St. James Town or Moss Park	Unidentified location near St. James Town or Moss Park	Playground in St. James Town	Unidentified location in St. James Town
111	Moss Park	Map of Moss Park	Looking west over Moss Park from Sherbourne north of Queen	Unidentified location near St. James Town or Moss Park	Unidentified location near St. James Town or Moss Park	Moss Park — Tug—of—War
109	West Don Lands	West Don Lands looking west, south of Eastern	West Don Lands	Unidentified location in West Don Lands	West Don Lands looking east	West Don Lands looking north beside Wickett and Craig tannery on Cypress
105	George Drew	George Drew, Premier of Ontario, visits battleship "Mandate"	George Drew, with unidentified man	George Drew at Abitibi Power and Paper Company display	George Drew, federal Leader of the Opposition, with Allan A. Lamport at the CNE	George Drew, Premier of Ontario, speaking at anniversary luncheon of Ontario Food Board Association in Toronto
105	Buildings Department	Eglinton office building, (Buildings Department)	Etobicoke Creek, highway span, (Buildings Department)	Artist's cut, motor coach terminal, Toronto, (Buildings Department)	939-941 Broadview Ave, (Buildings Department)	Hagar St, #39, (Buildings Department)
103	Personnel Department	Hillcrest tennis court, opening meet, (Personnel Department)	T.T.C. picnic, Sam Cohen and Sam Hill, champion pillow fighters, (Personnel Department)	T.T.C. picnic, general view, (Personnel Department)	T.T.C. picnic, married ladies race, (Personnel Department)	T.T.C. group, at South African Monument, (Personnel Department)
101	Royal Winter Fair	Royal Winter Fair, mounted cops, Police Sergeant Chalklin, Police Constable Hill, P.C. Hanier, P.C. Harvey, Patrol Sergeant Masters	Royal Winter Fair, R.S. McLaughlin receiving cup from Lord Willingdon	Royal Winter Fair, Maritime apple float	Royal Winter Fair, Lord Willingdon inspecting cattle	Royal Winter Fair, Ty Tyrone of Beau-Geste, Mrs. T.A. Stewart, Detroit
101	C. N. E.	Government Building — C. N. E.	Live Stock Arena — C. N. E.	Automotive Building, C. N. E.	C. N. E. — International Building	Stables, C. N. E.
101	Eaton's Annex	View of crows watching Eaton's Annex fire, Old City Hall in the background	Ground view of Eaton's Annex and demolition crew	View of Eaton's Annex on James Street with completed Eaton Centre in the background	View of Eaton's Annex and Yonge Street from Albert Street	View of demolition in Eaton's Annex
100	Harbour Square	Harbour Square models	Plans - Harbour Square	Plans - Harbour Square	Plans - Harbour Square	Courtyard at Harbour Square looking south-east
100	Canadian National Exhibition	Midway at the Canadian National Exhibition : "Laff in the Dark" ride	T.T.C. exhibit, Canadian National Exhibition, (Commercial Department)	Canadian National Exhibition, (Commercial Department)	Loading platform, eastern entrance to Canadian National Exhibition, (note crushed rock surfacing), (Way Department)	Canadian National Exhibition, (Commercial Department)
99	Exhibition Park	Exhibition Park	Exhibition Park — Mayor W.M. Stewart	Exhibition Park	Exhibition Park : showing bare spots	Playground Games — Exhibition Park
99	Pier C	Don section - Pier C	Pier C backfill	Progress - Pier C	Pier C reinforcing	Starting work on Pier C
99	Druid Temple	Druid Temple by Armand Vaillancourt	Druid Temple by Armand Vaillancourt	Druid Temple by Armand Vaillancourt	Druid Temple by Armand Vaillancourt	Druid Temple by Armand Vaillancourt
99	Armand Vaillancourt	Druid Temple by Armand Vaillancourt	Druid Temple by Armand Vaillancourt	Druid Temple by Armand Vaillancourt	Druid Temple by Armand Vaillancourt	Druid Temple by Armand Vaillancourt
97	Toronto Maple Leafs Baseball Club	Jack Kent Cooke with members of Toronto Maple Leafs Baseball Club, spring training camp, Florida	Billie Hallam, Miss Toronto 1937, wearing Toronto Maple Leafs Baseball Club outfit, striking baseball pose in alley	Melville Joseph "Mel" Kelly with baseball player at Toronto Maple Leafs Baseball Club spring training camp, Florida	Jack Kent Cooke presenting a cheque to a Toronto Maple Leafs Baseball Club player in team dugout,   Maple Leaf Stadium	Jack Kent Cooke with Toronto Maple Leafs Baseball Club players, Maple Leaf Stadium
97	St. Lawrence	Street lights in St. Lawrence neighbourhood	Unidentified location, probaby in St. Lawrence neighbourhood	St. Lawrence neighbourhood	Unidentified building, probably in St. Lawrence neighbourhood	St. Lawrence and Eastern [?]
97	Parliament Buildings	Empire Day, flower girls passing Parliament Buildings	Legislative chamber, Parliament Buildings, Toronto	Orlando newsboys band, band in front of Parliament Buildings	Parliament Buildings with clouds	Parliament Buildings, decorated for South African War Vets welcome
96	Canada Malting	Drawing of Canada Malting silos, north elevation	Ship beside Canada Malting silos	Model of Harbourfront School and Canada Malting silos	Canada Malting silos	Canada Malting building and Gardiner
96	Orpen Properties	Orpen Properties: Brock Grocery, 395 Brock Avenue, at Muir Avenue, northeast corner	Orpen Properties: house northeast of Royal York Road and St. Clair Avenue West (extended west)	Orpen Properties: lane and garage at rear of Awde Street	Orpen Properties: 944 to 914 Dufferin Street, west side, looking southwest	Orpen Properties: unidentified street
96	King East	Unidentified spot near King East and Jarvis	Little Trinity Church yard at 425 King East looking south	Unidentified location on King East or Queen East	South-east corner of King East and Berkeley	Looking north on Frederick from King East
94	Allan Gardens	Allan Gardens fountain, garden and greenhouse	Allan Gardens	Allan Gardens looking north-west	Allan Gardens greenhouse	Looking east [?] to Burns monument in Allan Gardens
93	Metro Toronto Zoo	Children on rocks, Metro Toronto Zoo	Penguins, Metro Toronto Zoo	Swans, Metro Toronto Zoo	Ibex, Metro Toronto Zoo	Elephants, Metro Toronto Zoo
92	Toronto Star	Andrew G. "Andy" Lytle, sports editor of the Toronto Star, with group	Andrew G. "Andy" Lytle, sports editor of the Toronto Star, with group	Harry C. Hindmarsh of the Toronto Star	Milton W. "Milt" Dunnell of the Toronto Star at Toronto Maple Leafs Baseball Club spring training camp	Toronto Star staff car stuck in the mud
91	Sherbourne St Carriage House	Demolition of Sherbourne St Carriage House - view from, over the fence, on Esplanade	Demolition of Sherbourne St Carriage House - view from Esplanade	Demolition of Sherbourne St Carriage House - east view over hoarding	Demolition of Sherbourne St Carriage House - view on Sherbourne	Demolition of Sherbourne St Carriage House
90	Canadian Council	Sam Steinberg presents Canadian Council of Christians and Jews Human Relations Award to J. Page R. Wadsworth	William Davis with group from Canadian Council of Christians and Jews	Betty Kennedy with children at Canadian Council of Christians and Jews Brotherhood Week	Canadian Council of Christians and Jews:  man and two young women	Children at Canadian Council of Christians and Jews Brotherhood Week
90	King Station	Leaks, King Station mezzanine level	Davisville Station and King Station	Rosedale Station and King Station	King Station platform	King Station, wall finish
90	Labatt's Brewery	Labatt's Brewery under construction	Labatt's Brewery under construction	Labatt's Brewery under construction	Labatt's Brewery under construction	Labatt's Brewery under construction
90	Pier D	Pier D concrete	Pier D	Don section, Pier D - general view	Don Section - new storage near Pier D	Gin pole Pier D
89	College Park	Interior of College Park	View of College Park from Yonge Street, next to Canadian Imperial Bank	Courtyard south of College Park under construction looking south-west	Courtyard south of College Park looking west	Proposed site plan of courtyard south of College Park
89	Toronto Summit Square	Toronto Summit Square looking north-east	People at Toronto Summit Square	News scrum at Toronto Summit Square	News scrum at Toronto Summit Square	News conference at Toronto Summit Square
89	O'Keefe Centre	O'Keefe Centre, Opening	O'Keefe Centre	O'Keefe Centre looking south-west	O'Keefe Centre, Opening 	O'Keefe Centre, Opening 
88	CIBC	CIBC building at northeast corner of King St East and Sherbourne	View of CIBC tower from across St. James Cathedral	View of CIBC tower from Colborne St	CIBC building on Adelaide E.	CIBC building at Queen St E. and Grant on northeast corner
88	Taylor Creek Park	View of bridge in Taylor Creek Park	View of bridge and bike path in Taylor Creek Park	View of creek in Taylor Creek Park	View of autumnal trees and buildings behind Taylor Creek Park	View of stream from bike path in Taylor Creek Park
88	San Francisco	San Francisco	Urban design - San Francisco, California	Urban design - San Francisco, California	San Francisco	Urban design - San Francisco, California
87	Bloor West	726 Bloor West looking east	2253 Bloor West looking east - sidewalk re accident - case heard April 21, Ashby v. Toronto	Site plan of 90 Bloor West	Looking to north-west corner of Bloor West and Kennedy	Site plan of 321 Bloor West
