title,citation,date,form,part_of,part_of_links,condition,copyright,imageLink,uniqueID,parent_uniqueID,parent_date,parent_desc,parent_title,parent_scope,physical_desc,subject,physical_desc_notes,numbers,other,scope,date_notes,title_notes,notes,author,author_notes,finding_aids,scale,geolocatable,datable,date_start,date_end,user_notes,latLng
Outer Harbour plans and aquatic park,"Fonds 200, Series 1465, File 294, Item 8",1977,Photographs,File 294; Outer harbour plans and aquatic park,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0294_it0008.jpg,449792,321985,1977,13 transparencies : col ; 35mm,Outer harbour plans and aquatic park,"File consists of maps, diagrams, sketches, text, and other visuals to do with planning redevelopment on the waterfront.",,,,,,,,,,,,,,Not Locatable,yes,1977,,,
Lakeshore Road level crossing at Sunnyside looking east,"Fonds 1231, Item 248","August 4, 1910",Photographs,Fonds 1231; James Salmon collection,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1231/f1231_it0248.jpg,79272,78988,,,,,1 photoprint : b&w; ; 13 x 18 cm. — 1 photonegative : b&w; ; 13 x 18 cm,RAILWAYS (browse  records),,,,,,,,,"City of Toronto Archives, Fonds 1231, Item 248",,,Locatable,yes,1910,,,"{""latLng"":""47.4796207,-79.66894200000002""}"
Bloor Station and Dundas Station,"Fonds 1128, Series 381, File 199, Item 9598-3",,,File 199; Bloor Station and Dundas Station,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser381/s0381_fl0199_id9598-3.jpg,426704,103773,"June 24, 1952",4 photonegatives : b&w; ; 10 cm X 13 cm,Bloor Station and Dundas Station,"File consists of photographs of artist's renderings of the interior of the Dundas Station, and the exterior of the Bloor Station.",,,,,,,,,,,,,,Locatable,yes,1952,,,"{""latLng"":""43.6562811,-79.38045899999997""}"
Synagogues,"Fonds 220, Series 65, File 26, Item 3",,,File 26; Synagogues,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0220/ser0065/s0065_fl0026_id0003.jpg,434188,33983,[195-],6 photonegatives : b&w; ; 10 x 12.5 cm,Synagogues,"File consists of six photographs of synagogues. Two show Beth David synagogue, 4122 Bathurst Street, two show a synagogue on Bathurst Street at Viewmont Avenue, and two show the site of Beth Emeth synagogue, at 100 Elder Street.",,,,,,,,,,,,,,Locatable,no,,,,"{""latLng"":""43.7605547,-79.45430320000003""}"
Close view of column detail on the side of Simpson's and Eaton's pedestrian bridge,"Fonds 1526, File 17, Item 68","September 25, 1978",,"File 17; Robert Simpson Company, Bay Queen Street Store",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0017_it0068.jpg,463517,456242,"November 23, 1973-September 29, 1984","101 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm","Robert Simpson Company, Bay Queen Street Store",,1 transparency : col. ; 35 mm,,,,,,,,,,,,,Locatable,yes,1978,,,"{""latLng"":""43.652032,-79.37972100000002""}"
Ontario Place,"Fonds 124, File 9, Item 58",,,File 9; Ontario Place,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0009_id0058.jpg,430099,127344,1972-1989,176 transparencies : col. ; 35 mm,Ontario Place,"File consists of colour slides documenting Ontario Place on Toronto's waterfront. There are images of the CNE from Ontario Place, the Cinesphere, the pavillions, Lakeshore Beach, the marina, the lagoon, and the Forum. There are also pictures showing the activities of the patrons, such as roller skating, kite flying, and children in the water park.",,,,,,,,,,,,,,Locatable,yes,1972,1989,,"{""latLng"":""43.62842879999999,-79.41353300000003""}"
Ontario Place,"Fonds 124, File 9, Item 139",,,File 9; Ontario Place,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0009_id0139.jpg,430180,127344,1972-1989,176 transparencies : col. ; 35 mm,Ontario Place,"File consists of colour slides documenting Ontario Place on Toronto's waterfront. There are images of the CNE from Ontario Place, the Cinesphere, the pavillions, Lakeshore Beach, the marina, the lagoon, and the Forum. There are also pictures showing the activities of the patrons, such as roller skating, kite flying, and children in the water park.",,,,,,,,,,,,,,Locatable,yes,1972,1989,,"{""latLng"":""43.62842879999999,-79.41353300000003""}"
Don crossing looking west,"Fonds 200, Series 376, File 1B, Item 2",[189?],"Photographs
Photographs - buildings - exterior views
Photographs - streetscapes",File 1B; City Engineer's photo album,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser376/fl0001b/s0376_fl0001b_it0002.jpg,49448,49207,[189-],9 photoprints : b&w;,City Engineer's photo album,File consists of images originally contained in a photographic album taken by the City Engineer's Office to document its activities.,1 photoprint : b&w; ; 26 x 33 cm. — 1 photonegative : b&w; ; 10 x 13 cm,RAILWAYS (browse  records) HORSE-DRAWN VEHICLES (browse  records),,,,,,,,,,,,Maybe,yes,1890,1899,,"{""latLng"":""45.364144,-75.79404699999998""}"
"View of wing and engine, from the window of an aircraft","Fonds 492, Item 242",[between 1950 and 1969],Photographs,Fonds 492; Dorothea Skinner photographs of Toronto events and attractions,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0492/f0492_it0242.jpg,652721,641367,,,,,1 photograph : col. transparency ; 35 mm,,,,,,,,,,,,,Not Locatable,yes,1950,1969,,
Unidentified location looking south,"Fonds 200, Series 1465, File 577, Item 6",[198-?],Photographs,File 577; Study - Main St / Merton St,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0577_it0006.jpg,554302,322768,[198-?],11 transparencies : colour ; 35mm,Study - Main St / Merton St,"File consists of modelling of shadows on Merton, as well as a building on Dundas and unidentified locations.",,,,,,,,,,,,,,Maybe,yes,1980,1989,,
Ontario Place canal,"Fonds 200, Series 1465, File 361, Item 16",[between 1980 and 1987],Photographs,File 361; Ontario Place,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0361_it0016.jpg,451701,322151,1967-1987,21 transparencies : col ; 35mm,Ontario Place,"File consists of images of Ontario Place, including aerials, and performers at the Forum.",,AMUSEMENT RIDES (browse  records) waterways (browse  records),,,,,,,,,,,,Locatable,yes,1980,1987,,"{""latLng"":""44.0471902,-77.62797280000001""}"
North-east corner of Yonge and Carlton ,"Fonds 200, Series 1465, File 387, Item 14",[between 1984 and 1994],Photographs,File 387; Aerial views of downtown,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0387_it0014.jpg,452541,322182,1984-1994,20 transparencies : col ; 35mm,Aerial views of downtown,"File consists of images of downtown, mostly Yonge between Queen and College/Carleton.",,,,,,,,,,,,,,Locatable,yes,1984,1994,,"{""latLng"":""43.661555577916175,-79.38283040793453""}"
Soldiers,"Fonds 1244, Item 916",1915,"Photographs
Photographs - portraits",Fonds 1244; William James family fonds,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1244/f1244_it0916.jpg,52436,46340,,,,,1 photoprint : b&w; ; 12 x 16 cm. — 1 photonegative : b&w; ; 10 x 12 cm,ARMED FORCES PERSONNEL (browse  records) Fences (browse  records),Neg is a copy neg.,James & Sons.,"A reference print of this image is available on the photograph collection shelves of the Research Hall. See James Collection, Volume 15.",Item consists of one photograph taken near Bloor Street.,,,,,,,,Maybe,yes,1915,,,
North-east corner of Yonge and Wellesley,"Fonds 200, Series 1465, File 431, Item 22",1994,Photographs,File 431; Buildings - commercial residental conversions,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0431_it0022.jpg,550327,322335,1994,41 transparencies : col ; 35mm,Buildings - commercial residental conversions,"File consists of images of commercial buildings before, during, or after being converted into residential buildings.",,,,,,,,,,,,,,Locatable,yes,1994,,,"{""latLng"":""43.665254966645215,-79.3842620925904""}"
Street Cleaning Department - Sanivans,"Fonds 200, Series 372, Subseries 100, Item 657",[194-?],Photographs,Subseries 100; General photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0100/s0372_ss0100_it0657.jpg,106900,84070,[ca.1890]-1963,"ca. 772 photoprints : b&w; ; 13 x 18 cm and smaller
ca. 61 photonegatives : b&w; ; 13 x 18 cm and smaller",General photographs,"Subseries consists of a miscellaneous group of images assembled by the archivist from photographs that did not readily fit into any existing category in Series 372.
Arranged chronologically, photographs in this subseries cover a diverse range of subjects, from architecture (bridges and buildings) and transportation (illegal parking, streetcars, and street cleaning) to public works (waste incineration, sewers, water distribution networks, and Works facilities) and police and fire services (stations and fire halls). There are numerous photographs of intersections located around the city, as well as views of stagnant ponds, fire damage, civic events.",1 photoprint : b&w;,,,,,,,,,Turofsky,,,,Not Locatable,yes,1940,1949,,
Rear of 622-628 Dundas Street east corner of Sumach Street,"Fonds 200, Series 372, Subseries 41, Item 798","July 27, 1951",,Subseries 41; Miscellaneous photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0041/s0372_ss0041_it0798.jpg,142237,83987,1900-1949,"ca. 114 photoprints : b&w; ; 13 x 18 cm and smaller
ca. 437 photonegatives : b&w; ; 13 x 18 cm and smaller",Miscellaneous photographs,"Subseries consists of a diverse collection of photographs depicting citizens and scenes of Toronto. Subseries includes photographs of events (e.g., Works Department annual banquets, Orange Day celebrations); memorials, tributes, and awards (e.g., the Cenotaph at City Hall, a memorial to returning soldiers, McIntyre Football Trophy, Toronto's Centennial tablets); portraits of prominent members of the community (e.g., Commissioner R.C. Harris, Mayors W.J. Stewart and Thomas Foster, members of the Board of Control, photographer Arthur S. Goss and family); and photographs of Toronto landscapes (e.g., Cherry Beach, Leslie Beach, Sunnyside Beach, Rotary Club Gardens, Riverdale Zoo, High Park), streetscapes (e.g., Yonge St., Castle Frank Rd., Broadview Ave., Don Roadway), and buildings (e.g., Old City Hall, Art Gallery of Toronto, Toronto General Hospital). Also included are a series of photographs of TTC property in the St. Clair and Runnymede Rd. district.",1 photoprint : b&w; ; 18 x 13 cm. — 1 photonegative : b&w; ; 12.5 x 10 cm.,,,,,,,,,,,,,Locatable,yes,1951,,,"{""latLng"":""42.9890434,-81.23098759999999""}"
"303, 305, 307 Yonge Street","Fonds 200, Series 372, Subseries 3, Item 463","May 17, 1922",Photographs,Subseries 3; Assessment photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0003/s0372_ss0003_it0463.jpg,93262,83947,1911-1947,ca. 1200 photographs : b&w; ; 13 x 18 cm and smaller,Assessment photographs,"Subseries consists of photographs taken on behalf of the Assessment Department to assist in their evaluation of property values within the former City of Toronto. City Photographer Arthur Goss was reponsible for photographs taken prior to 1940.
Subseries also includes a 1915 diagram showing the density of Toronto's population by Assessment System (Item 148).",1 photoprint : b&w; ; 13 x 18 cm. — 1 photonegative : b&w; ; 13 x 18 cm,,,,,,,,,,,,,Locatable,yes,1922,,,"{""latLng"":""43.6560003,-79.3807688""}"
"Arthur Roweth, 39 Dunedin Avenue","Fonds 200, Series 372, Subseries 32, Item 446","March 23, 1916",Photographs,Subseries 32; Health Department photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0032/s0372_ss0032_it0446.jpg,84763,83977,1911-1940,"ca. 245 photoprints : b&w; ; 13 x 18 cm and smaller
909 photonegatives : b&w; ; 13 x 18 cm and smaller",Health Department photographs,"Subseries consists of images taken for the Department of Health by the Department of Works photographer. Arranged in chronological order, these photographs focus on issues of concern to the Health Department during the tenure of Medical Officer of Health Dr. Charles Hastings. Subjects addressed in the photographs include: food and milk control, housing conditions and overcrowding, sanitation (including sewage disposal, plumbing, and drainage), quarantine and communicable disease control, potable water and water treatment, infants' clinics and mothers' classes, the activities of visiting public health nurses, and health and dental clinics held in Toronto public schools.
Subseries also includes photographs of offices, laboratories, and equipment associated with the operation of the Department of Health, as well as copies of charts and diagrams illustrating various public health statistics for Toronto.",1 photonegative : b&w; ; 13 x 18 cm,,,,,,,,,,,,,Locatable,yes,1916,,,"{""latLng"":""43.40964109999999,-80.49480389999997""}"
"King and Berkeley Sts, southwest corner","Fonds 1526, File 65, Item 143","September 17, 1984",,"File 65; King Street East, Jarvis Street to Berkeley Street",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0065_it0143.jpg,518840,457002,"April 23, 1971-September 17, 1984","144 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm","King Street East, Jarvis Street to Berkeley Street",,1 transparency : col. ; 35 mm,,,,,,,,,,,,,Locatable,yes,1984,,,"{""latLng"":""43.651883590335274,-79.36448608836054""}"
"3:45-4:15 p.m., Yonge St, south, from Dundas St, (Executive Department)","Fonds 16, Series 71, Item 8158","November 4, 1930",,Series 71; Central photography series of the Toronto Transit Commission,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser71/s0071_it8158.jpg,41911,25217,,,,,1 photoprint : b&w; ; 13 x 18 cm,,,,,The item is a photograph looking at a view Yonge Street south from Dundas Street.,,,,Alfred Pearson,,,,Locatable,yes,1930,,,"{""latLng"":""43.65633254497444,-79.3809034920655""}"
View of Queen Street Eaton's store just prior to demolition,"Fonds 1526, File 86, Item 86","April 27, 1977",,File 86; Eaton's Yonge-Queen department store demolition wrecking crane,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0086_it0086.jpg,520608,457451,"April 12, 1977-May 18, 1977","145 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm",Eaton's Yonge-Queen department store demolition wrecking crane,,1 transparency : col. ; 35 mm,,,,,,,,,,,,,Locatable,yes,1977,1977,,"{""latLng"":""43.6524128,-79.3792588""}"
Rosedale Ravine [?],"Fonds 200, Series 1465, File 493, Item 2",[between 1980 and 1995],Photographs,File 493; Open space - ravines,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0493_it0002.jpg,552153,322593,1980-1995,"29 transparencies : col ; 35mm
6 transparencies : b&w; ; 35mm",Open space - ravines,"File consists of images of ravines and parks. Most are of the Don Valley and Rosedale Ravine area. Others may show the ravine at Humber River and Steeles, St. Phillips bridge, and Balfour Park.",,BRIDGES (browse  records),,,,,,,,,,,,Locatable,yes,1980,1995,,"{""latLng"":""43.674266614242946,-79.36402722485354""}"
Munitions factory,"Fonds 1244, Item 849",[1916?],Photographs,Fonds 1244; William James family fonds,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1244/f1244_it0849.jpg,52359,46340,,,,,2 photoprints : b&w; ; 12 x 16 cm. — 1 photonegative : b&w; ; 10 x 12 cm,weapons (browse  records) WORKERS (browse  records) MANUFACTURING INDUSTRIES (browse  records) INDUSTRIAL FACILITIES (browse  records),Neg is a copy neg.,"James & Sons, stamp.","A reference print of this image is available on the photograph collection shelves of the Research Hall. See James Collection, Volume 14.",,,,,,,,,Not Locatable,yes,1916,,,
"Demolition of Firstbrook Bros., 287 King St E. - view from Ontario at King","Fonds 1526, File 59, Item 57","April 23, 1980",,"File 59; Firstbrook Brothers, Ltd. building demolition",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0059_it0057.jpg,517989,456736,"January 15, 1980-May 13, 1980","73 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm","Firstbrook Brothers, Ltd. building demolition",,1 transparency : col. ; 35 mm,,,,,,,,,,,,,Locatable,yes,1980,,,"{""latLng"":""43.6515423,-79.36693550000001""}"
"View of shoe store window display on the west side of Yonge Street, north of Wellesly","Fonds 1526, File 2, Item 25","June 4, 1975",,"File 2; Yonge Street, Bloor Street to Grosvenor St.",,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0002_it0025.jpg,462425,455998,"July 1, 1970-July 1, 1975","91 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm","Yonge Street, Bloor Street to Grosvenor St.",,1 transparency : col. ; 35 mm,,,,,,,,,,,,,Locatable,yes,1975,,,"{""latLng"":""43.66527824990929,-79.3848199920655""}"
Long side view of glass staircase in Eaton Centre,"Fonds 1526, File 87, Item 23","April 30, 1977",,File 87; Eaton Centre exterior after construction,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0087_it0023.jpg,520690,457452,"April 30, 1977-April 20, 1981","40 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm",Eaton Centre exterior after construction,,1 transparency : col. ; 35 mm,,,,,,,,,,,,,Locatable,yes,1977,1977,,"{""latLng"":""43.65390258594844,-79.38010931401675""}"
"Holiday trip, view at Saint Fabien, Quebec","Fonds 1266, Item 18180","August 7, 1929",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 18180.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it18180.jpg,300609,46341,,,,,"1 photonegative : b&w;, safety film ; 10 x 13 cm",,"Negative was reformatted from nitrate film to safety film, between 1987 and 1990.",Previously cited: City of Toronto Archives SC 266-18180,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,,Maybe,yes,1929,1929,,
Runnymede School West El.,"Fonds 200, Series 372, Subseries 1, Item 1708","August 8, 1944",Photographs,Subseries 1; Architect's photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0001/s0372_ss0001_it1708.jpg,102482,83946,1912-1952,ca. 1678 photographs : b&w; ; 13 x 18 cm and smaller,Architect's photographs,"Subseries consists of photographs taken on behalf of the City Architect's Department to document their activities. Photographs illustrate different types of buildings (e.g., residential, commercial, industrial) located across the City, and in various states of repair. Subseries includes views of buildings under construction, buildings undergoing repair work, buildings exhibiting structural damage (e.g., leaning walls, foundation cracks, collapsed chimneys), and buildings damaged by events such as frost, fire, or explosion.",1 photoprint : b&w; ; 13 x 18 cm,,,,,,,,,,,,,Maybe,yes,1944,1944,,
Kennedy Road north from Lawrence Avenue,"Fonds 220, Series 65, File 259, Item 59",,,File 259; Kennedy Road north from Lawrence Avenue,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0220/ser0065/s0065_fl0259_it0059.jpg,521987,340987,1963,77 photographs : b&w; negatives,Kennedy Road north from Lawrence Avenue,,,,,,,,,,,,,,,Locatable,yes,1963,,,"{""latLng"":""43.750511213517925,-79.27519450740965""}"
