title,citation,date,form,part_of,part_of_links,condition,copyright,imageLink,uniqueID,parent_uniqueID,parent_date,parent_desc,parent_title,parent_scope,physical_desc,subject,physical_desc_notes,numbers,other,scope,date_notes,title_notes,notes,author,author_notes,finding_aids,scale
4 Ferndale Avenue — garages,"Fonds 200, Series 372, Subseries 100, Item 103","April 10, 1952",Photographs,Subseries 100; General photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0100/s0372_ss0100_it0103.jpg,102767,84070,[ca.1890]-1963,"ca. 772 photoprints : b&w; ; 13 x 18 cm and smaller
ca. 61 photonegatives : b&w; ; 13 x 18 cm and smaller",General photographs,"Subseries consists of a miscellaneous group of images assembled by the archivist from photographs that did not readily fit into any existing category in Series 372.
Arranged chronologically, photographs in this subseries cover a diverse range of subjects, from architecture (bridges and buildings) and transportation (illegal parking, streetcars, and street cleaning) to public works (waste incineration, sewers, water distribution networks, and Works facilities) and police and fire services (stations and fire halls). There are numerous photographs of intersections located around the city, as well as views of stagnant ponds, fire damage, civic events.",1 photoprint : b&w;,,,,,,,,,,,,
Victoria Park Avenue,"Fonds 220, Series 65, File 149, Item 3",,,File 149; Victoria Park Avenue,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0220/ser0065/s0065_fl0149_it0003.jpg,435622,340489,"June 17, 1960",29 photographs : b&w; negatives,Victoria Park Avenue,,,,,,,,,,,,,,
Site diagram of Convention Centre and area south,"Fonds 200, Series 1465, File 419, Item 11",[between 1990 and 1994],Photographs,File 419; Buildings - Canada Malting and Convention Centre,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0419_it0011.jpg,453540,322324,"[between 1930 and 1950?], [1990-1994]",20 transparencies : col ; 35mm,Buildings - Canada Malting and Convention Centre,"File consists of images of the Canada Malting Co. silos at the foot of Bathurst, as well as the Metropolitan Toronto Convention Centre under constrution and environs.",,,,,,,,,,,,,
Gas-fired steam boilers operate presses at the Toronto Daily Star,"Fonds 1034, Item 949",[ca. 1922],Photographs,Fonds 1034; Consumers' Gas Company Ltd. fonds,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1034/f1034_it0949.jpg,565019,45741,,,,,"1 negative : b&w;, glass ; 20 x 25 cm",,,,,,,,,,,,
Photos of presentation of cheques for contest,"Fonds 1653, Series 975, File 2413, Item 34544-3",,,File 2413; Photos of presentation of cheques for contest,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser0975/s0975_fl2413_id34544-3.jpg,454448,327057,"June 17, 1957",4 photonegatives: b&w; ; 11 x 13 cm,Photos of presentation of cheques for contest,The photographs were commissioned by Metro Toronto and the Regulatory Conservation.,,,,,,,,,,,,,
Unidentified construction personnel,"Fonds 1567, Series 648, File 74, Item 2",,,File 74; Unidentified construction personnel,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1567/ser648/s0648_fl0074_id0002.jpg,441826,125336,1960,17 photonegatives : b&w; ; 11 x 13 cm,Unidentified construction personnel,,,,,,,,,,,,,,
"Queen's Park, start on addition to East Block, carpenters at work","Fonds 1266, Item 22662","December 2, 1930",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 22662.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it22662.jpg,307427,46341,,,,,"1 photonegative : b&w;, glass ; 9 x 11 cm",CONSTRUCTION (browse  records) WORKERS (browse  records),,Previously cited: City of Toronto Archives SC 266-22662,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,
Parks,"Fonds 124, File 10, Item 31",,,File 10; Parks,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0124/f0124_fl0010_id0031.jpg,430248,127345,1946-1983,42 transparencies : col. ; 35 mm,Parks,"File consists of colour slides documenting Toronto parks including High park, Riverdale Park, Toronto Island, Trethewey Park, James Gardens, Creek Park, Boyd Park, and Don Valley Park.",,,,,,,,,,,,,
"Sunnyside, wading pool","Fonds 1266, Item 40625","July 1, 1936",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 40625.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it40625.jpg,514999,46341,,,,,1 photonegative : b&w; ; safety film; 10 x 13 cm,,,Previously cited: City of Toronto Archives SC 266-40625.,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,
Deck from east side,"Fonds 200, Series 372, Subseries 60, Item 354","August 29, 1924",Photographs,Subseries 60; Construction photographs of St. Clair Avenue E. viaduct,,"OPEN - No restrictions on these government records.To preserve the original photographs, researchers should consult the mircofilm reference copies available in the Research Hall, or view the images on-line.",Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0060/s0372_ss0060_it0354.jpg,297228,84008,1922-1924,"394 photoprints : b&w; ; 13 x 18 cm and smaller
394 photonegatives : b&w; ; 13 x 18 cm and smaller",Construction photographs of St. Clair Avenue E. viaduct,"Subseries consists of photographs documenting the construction of the St. Clair Viaduct located at St. Clair Ave. E. between Avoca Ave. and Inglewood Dr. Spanning the Vale of Avoca ravine, this structure replaced an older steel bridge that had been built in 1890. 
Arranged chronologically, photographs provide general, detail, and birds eye views of the progress of construction, including images of the excavation, timbering, footings, abutments, and concrete forms. Subseries also include images of the dismantling of the old steel bridge and the diversion of the creek running through the ravine. 
The following streets are referenced in this subseries: St. Clair Ave. E., Pleasant Blvd., Avoca Ave., Mount Pleasant Blvd., and Inglewood Dr.","1 photonegative : b&w; ; 13 x 18 cm
1 photoprint : b&w; ; 13 x 18 cm",,,,"This photograph may be available on microfilm, located in the Research Hall microfilm cabinets at the City of Toronto Archives.",,,,,,,,
Victoria Park Avenue widening,"Fonds 220, Series 65, File 21, Item 20",,,File 21; Victoria Park Avenue widening,,"Vinegar syndrome has affected the original film media. It has been frozen for preservation reasons, and therefore may not be requested for viewing in the Research Hall. ",Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo0220/ser0065/s0065_fl0021_it0020.jpg,571295,33959,1959,38 photonegatives : b&w; ; 10 x 12.5 cm,Victoria Park Avenue widening,"File consists of 38 photographs, dated August 1959, of Victoria Park Avenue, between Eglinton Avenue East and Lawrence Avenue East, showing a section to be widened. Included are photographs showing apartments under construction at Biggin Court and Elvaston Drive, a strip mall at Surrey Avenue, and conditions at Lawrence Avenue East, Innismore Crescent and Arncliffe Crescent. Also included in the file are photographs of Wilmar Heights Baptist Church, McLean Animal Hospital, the site offices of area land developers Robert McLintock Ltd and Arthur Blakeley Ltd, St Jude's Church Cemetery, the yard of building supplier Ray Ferguson, F. L. Seager Motor Repairs, Bob Cooper Sunoco, and verious houses and apartment buildings along the section.",,,,,,,,,,,,,
504 Adelaide Street West,"Fonds 200, Series 372, Subseries 33, Item 362","May 5, 1938",,Subseries 33; Housing photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource//ser372/ss0033/s0372_ss0033_it0362.jpg,247371,83978,1936-1951,986 photographs : b&w; ; 13 x 18 cm and smaller,Housing photographs,Subseries consists of photographs of houses located across the former City of Toronto.,1 photonegative ; b&w; ; 13 x 18 cm. - 1 photoprint : b&w; ; 13 x 18 cm,,,,,,,,,,,,
South-east corner of Front and Yonge looking north-west,"Fonds 200, Series 1465, File 508, Item 14",[between 1983 and 1989],Photographs,File 508; Open space - courtyards / presentation,,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0508_it0014.jpg,552675,322659,[between 1983 and 1989],21 transparencies : col ; 35mm,Open space - courtyards / presentation,File consist of images of mostly unidentified courtyards. Some may be in Macdonald Block and the University of Toronto. File also includes reference plans of parks in other cities.,,squares (open spaces) (browse  records),,,,,,,,,,,
Harbour Commission Building - illuminated at night,"Fonds 1526, File 40, Item 12","July 27, 1958",Photographs,File 40; Miscellaneous slides of Toronto,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0040_it0012.jpg,516412,456376,"June 22, 1957-March 28, 1984","61 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm",Miscellaneous slides of Toronto,"File consists of 61 35mm Kodachrome slide transparencies of various Toronto buildings, landmarks and street scenes, including: Brentwoods Towers, the Dineen Building, the Heintzman & Co. Ltd. Building, the Imperial Oil Building demolition, the Massey-Ferguson Building, The Old Mill, Sunnyside Outdoor Swimming Pool, Toronto Fire Hall #8, the Toronto Harbour Commission Building, the Toronto Star Building, Ryerson architectural student models, the Toronto sesquicentennial banner, the statue of Peter Pan, and shots of street food vending, billboards, traffic lights, and summer smog. File also includes shots of the House of Anne's Well and nearby 200 year-old trees in Thornhill, Ontario.",1 transparency : col. ; 35 mm,,,,,,,,,,,,
Confederation Life Building - view looking southeast corner of building at Richmond and Victoria Sts,"Fonds 1526, File 29, Item 3","August 13, 1973",Photographs,File 29; Confederation Life Building,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0029_it0003.jpg,464008,456331,"August 13, 1971-April 7, 1982","145 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm",Confederation Life Building,,1 transparency : col. ; 35 mm,,,,,,,,,,,,
"Hairdressers, Sutherland model","Fonds 1266, Item 15810","February 28, 1929",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 15810.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it15810.jpg,293150,46341,,,,,"1 photonegative : b&w;, safety film ; 10 x 13 cm",,"Negative was reformatted from nitrate film to safety film, between 1987 and 1990.",Previously cited: City of Toronto Archives SC 266-15810.,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,
Rear of 299 Sackville Street,"Fonds 200, Series 372, Subseries 33b, Item 457","Feb. 13, 1951",,Subseries 33b; Housing photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0033b/s0372_ss0033b_it0457.jpg,248879,83979,1947-1954,499 photoprints : b&w; ; 13 x 18 cm or smaller,Housing photographs,"Subseries consists of photographs depicting residential buildings in various parts of the city. Subseries also includes photographs of houses and buildings demolished for the Regent Park housing development. 
The following streets are documented in this sub-series: Bathurst St., Boulton Ave., Briggs St., Broadview Ave., Brooklyn Ave., Carlyle St., Dagmar Ave., Dean St., Digby St., Dundas St. East, Dundee St., Dupont St., Edgewood Ave., Gerrard Ave., Jones Ave., Kendal Ave., Kingston Rd., Lakeshore Blvd., Lake Shore Rd., Lansdowne Ave., Lippincott St., Logan Ave., Lovatt Pl., Madeira Pl., Mallon Ave., Maughan Cres., Midland Pl., Mt. Pleasant Rd., Norval Ave., Oak St., Ontario St., Orchard Park, Ossington Ave., Otter Ave., Paisley St., Pape Ave., Parliament St., Reed St., Regent St., Rhodes Ave., River St., Seaton St., Sherbourne St., Spadina Rd., Sumach St., Taylor St., Vivian St., Wardell Ave., Wilmot St., and York St.",1 photonegative : b&w; ; 13 x 18 cm. - 1 photoprint : b&w; ; 13 x 18 cm,,,,,,,,,,,,
View of priest entering St. James Cathedral on garden dedication day,"Fonds 1526, File 22, Item 115","September 13, 1981",,File 22; Cathedral Church of St. James,,OPEN - No restrictions on these non-government records.,Copyright was transferred to the City of Toronto by the copyright owner. ...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1526/f1526_fl0022_it0115.jpg,463779,456247,"September 25, 1957-June 21, 1983","144 transparencies : col. slides, diapositive (Kodachrome) ; 35 mm",Cathedral Church of St. James,,1 transparency : col. ; 35 mm,,,,,,,,,,,,
"Grenadier cadets, Rosedale","Fonds 1244, Item 982",[1914?],"Photographs
Photographs - portraits",Fonds 1244; William James family fonds,,OPEN - No restrictions on these non-government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1244/f1244_it0982.jpg,52552,46340,,,,,1 photoprint : b&w; ; 12 x 16 cm. — 1 photonegative : b&w; ; 10 x 12 cm,OFFICER CADETS (ARMED FORCES) (browse  records),Neg is a copy neg.,W. James.,"A reference print of this image is available on the photograph collection shelves of the Research Hall. See James Collection, Volume 16.","Item consists of one photograph. A note says ""Re mobilization order.""",,,,,,,
Stockholm,"Fonds 200, Series 1465, File 7, Item 3",1838,Photographs,"File 7; Graphics 6 - 19th Century, engravings of European cities",,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0007_id0003.jpg,438874,306842,[between 1977 and 1998],14 transparencies : col ; 35mm,"Graphics 6 - 19th Century, engravings of European cities",,,,,,,,Item is a copy made in the 1980s.,,,,,,
"Granite [Club] Skating Carnival, Jean Scott, Dorothy Livingstone, Elfin Court","Fonds 1266, Item 19646","March 27, 1930",Photographs,Fonds 1266; Globe and Mail fonds,,"OPEN - No restrictions on these non-government records.To preserve the original negatives, researchers should consult the microfiche reference copies, available in the Research Hall.","Copyright is in the public domain and permission for use is not required...moreThe following citation must be used when exhibiting or publishing this image: City of Toronto Archives, Globe and Mail fonds, Fonds 1266, Item 19646.",https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/fo1266/f1266_it19646.jpg,302543,46341,,,,,"1 photonegative : b&w;, safety film ; 10 x 13 cm",CHILDREN (browse  records) costumes (browse  records),"Negative was reformatted from nitrate film to safety film, between 1987 and 1990.",Previously cited: City of Toronto Archives SC 266-19646,"This photograph is available on microfiche, in the Research Hall at the City of Toronto Archives.",,,,,,,,
"Urban design - Vancouver, British Columbia","Fonds 200, Series 1465, File 232, Item 8",[between 1980 and 1998],Photographs,"File 232; Urban design - Vancouver, British Columbia",,OPEN - No restrictions on these government records.,Copyright is held by the City of Toronto....more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser1465/s1465_fl0232_it0008.jpg,447871,307066,[between 1977 and 1998],32 transparencies : col. ; 35mm,"Urban design - Vancouver, British Columbia",,,,,,,,,,,,,,
Intake from shaft south,"Fonds 200, Series 372, Subseries 25, Item 104","December 21, 1931",,Subseries 25; Filtered water tunnel photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0025/s0372_ss0025_it0104.jpg,255786,83970,1930-1932,"ca. 137 photoprints : b&w; ; 13 x 18 cm and smaller
ca. 137 photonegatives : b&w; ; 13 x 18 cm and smaller",Filtered water tunnel photographs,"Subseries consists of photographs of filtration water tunnels associated primarily with the R.C. Harris Filtration Plant. Arranged chronologically, photographs document intake tunnels, shafts, caissons, cribs, pipes, forms, and headings as well as shaft plants. Also included in this subseries are images showing construction work and machinery, including a gunite machine, an air winch, blower equipment, and a drilling and dynamite chart. ","1 photonegative : b&w; ; 13 x 18 cm
1 photoprint : b&w; ; 13 x 18 cm",,,,,,,,,,,,
Rear of west looking south,"Fonds 200, Series 372, Subseries 63, Item 69","January 30, 1932",Photographs,Subseries 63; Construction photographs of St. Clair Ave. underpass near Keele St.,,"OPEN - No restrictions on these government records.To preserve the original photographs, researchers should consult the mircofilm reference copies available in the Research Hall, or view the images on-line.",Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0063/s0372_ss0063_it0069.jpg,297493,84011,1931-1932,"90 photoprints : b&w; ; 13 x 18 cm and smaller
90 photonegatives : b&w; ; 13 x 18 cm and smaller",Construction photographs of St. Clair Ave. underpass near Keele St.,"Subseries consists of photographs documenting the construction of the underpass beneath the CNR Brampton Subdivision line at St. Clair Ave. West. just east of Keele St. Arranged chronologically, photographs provide general and detail views of the progress of the project from various vantage points. Also included are images of the Maltby Company and the Hudson Coal Company. ","1 photonegative : b&w; ; 13 x 18 cm
1 photoprint : b&w; ; 13 x 18 cm",,,,"This photograph may be available on microfilm, located in the Research Hall microfilm cabinets at the City of Toronto Archives.",,,,,,,,
Main drain outfall,"Fonds 200, Series 372, Subseries 77, Item 83","May 7, 1936",Photographs,Subseries 77; Victoria Park Pumping Station photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0077/s0372_ss0077_it0083.jpg,95628,84041,1935-1936,"ca. 4 photoprints : b&w; ; 13 x 18 cm and smaller
ca. 53 photonegatives : b&w; ; 13 x 18 cm and smaller",Victoria Park Pumping Station photographs,"Subseries consists of images documenting the construction of the pumping station facilities at the Victoria Park (later R.C. Harris) Filtration Plant. Arranged chronlogically, these photographs provide detail views of the project, including images of the excavation work and the construction of the foundation for the tile drains. Subseries also includes general and panoramic views showing the progress of construction.",1 photonegative : b&w; ; 13 x 18 cm,,,,,,,,,,,,
"Arthur Roweth, 39 Dunedin Avenue","Fonds 200, Series 372, Subseries 32, Item 446","March 23, 1916",Photographs,Subseries 32; Health Department photographs,,OPEN - No restrictions on these government records.,Copyright is in the public domain and permission for use is not required...more,https://gencat4.eloquent-systems.com:443/webcat/systems/toronto.arch/resource/ser372/ss0032/s0372_ss0032_it0446.jpg,84763,83977,1911-1940,"ca. 245 photoprints : b&w; ; 13 x 18 cm and smaller
909 photonegatives : b&w; ; 13 x 18 cm and smaller",Health Department photographs,"Subseries consists of images taken for the Department of Health by the Department of Works photographer. Arranged in chronological order, these photographs focus on issues of concern to the Health Department during the tenure of Medical Officer of Health Dr. Charles Hastings. Subjects addressed in the photographs include: food and milk control, housing conditions and overcrowding, sanitation (including sewage disposal, plumbing, and drainage), quarantine and communicable disease control, potable water and water treatment, infants' clinics and mothers' classes, the activities of visiting public health nurses, and health and dental clinics held in Toronto public schools.
Subseries also includes photographs of offices, laboratories, and equipment associated with the operation of the Department of Health, as well as copies of charts and diagrams illustrating various public health statistics for Toronto.",1 photonegative : b&w; ; 13 x 18 cm,,,,,,,,,,,,
